Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
0,3,86692952074,0.08507134808376199,38.08450698852539,4,1558
0,1,17893850277,0.011568620671105029,30.2126407623291,4,1544
0,3,32698861632,0.06804170350566496,29.447078704833984,4,1557
0,4,93811371655,0.030619954045507585,39.879560470581055,4,1582
0,3,16389410196,0.015359907962198839,30.58004379272461,4,1556
0,3,79151119147,0.03030081492927088,30.0905704498291,4,1555
0,1,76874592622,0.014910943293409367,40.1463508605957,4,1543
0,3,89900605627,0.11196289453345395,29.5712947845459,4,1555
0,2,80978502158,0.04415697387947656,29.961347579956055,4,1550
0,4,54450324310,0.07228362384152506,40.44151306152344,4,1581
0,3,39225012536,0.03999338929523119,30.0595760345459,4,1554
0,2,65787923374,0.038690463830353364,30.12251853942871,4,1549
0,4,80761612025,0.10167391366342268,40.38286209106445,4,1581
0,3,80790280554,0.0074451311331897975,29.77442741394043,4,1553
0,4,32398934236,0.002136269610207959,32.65047073364258,4,1580
0,4,72073942715,0.02957773649486344,30.327796936035156,4,1579
0,4,48170482380,0.04889894693903712,30.779361724853516,4,1579
0,1,44289914920,0.02200092914997543,31.591415405273438,4,1543
0,3,15900742301,0.011702542620846842,31.26239776611328,4,1553
0,1,35523521236,0.0014469392870234423,31.212806701660156,4,1543
0,4,63622454682,0.05839397246858598,31.688928604125977,4,1579
0,3,32168965081,0.002338736325221502,31.541824340820312,4,1553
0,2,78083737319,0.052997756852486574,30.942916870117188,4,1549
0,2,33727316726,0.1214860608108429,31.969785690307617,4,1549
0,3,38428598150,0.061068914397688114,31.575679779052734,4,1553
0,3,84258895336,0.0050112430028218385,31.274795532226562,4,1553
0,2,96036188513,0.011781440733078411,32.70864486694336,4,1549
0,2,95511685757,0.007795986367863472,31.665325164794922,4,1548
0,5,30952850949,0.002625487204331635,36.63277626037598,6,14969
0,2,32481119307,0.07950825846155389,31.27312660217285,6,14913
0,3,51965235909,0.0010919019696470761,31.1739444732666,6,15178
0,5,99407891910,0.01663081238631135,31.862735748291016,6,14969
0,3,54020099851,0.03714348216586257,31.656742095947266,6,15177
0,1,85888622142,0.020208245811316257,30.764341354370117,6,15018
0,6,38202726337,0.0014301531033058218,32.04035758972168,6,15133
0,4,46003789269,0.0388867249755995,31.91518783569336,6,15090
0,5,13624320713,0.05346459299404328,30.915021896362305,6,14969
0,6,46038077542,0.14565509885542482,31.574487686157227,6,15133
0,3,78694034673,0.006228425032488955,30.736684799194336,6,15177
0,5,35359067911,0.002656127870666823,31.966209411621094,6,14969
0,3,65428719824,0.024031106635748468,31.821727752685547,6,15176
0,2,7426881997,0.015558904564808955,31.919479370117188,6,14913
0,3,8983584087,0.0019652001885639837,31.914234161376953,6,15175
0,3,32014530049,0.01919812107350621,31.90898895263672,6,15174
0,6,58621814218,0.0014435979847342417,31.357765197753906,6,15132
0,4,16924865466,0.03200130196938966,31.65435791015625,6,15090
0,4,84640542820,0.004183729909325783,31.157970428466797,6,15089
0,2,81793640177,0.00882374366816516,31.348705291748047,6,14913
0,2,98651660913,0.049782828557798926,31.956911087036133,6,14913
0,3,56223549173,0.006894082454580537,31.872272491455078,6,15174
0,2,70394996888,0.07604910988196761,31.145095825195312,6,14913
0,3,65454733914,0.009501138632956872,46.586036682128906,6,15173
0,3,15203033239,0.03530708485129618,51.32412910461426,6,15172
0,2,94015004381,0.024161781731330784,42.8774356842041,6,14912
0,1,48783570904,0.1378109319278965,33.87856483459473,6,15018
0,5,82548192772,0.03474373825462345,29.94990348815918,6,14968
0,6,51995663070,0.00435917475076541,36.62395477294922,6,15131
0,6,11290492021,0.07099506858281128,45.87602615356445,6,15130
0,1,89361018774,0.002896312677917465,41.84842109680176,6,15017
0,4,30883091238,0.0009394908333387082,31.22425079345703,6,15088
0,3,81349482833,0.038430064052977816,31.91518783569336,6,15171
0,2,41066818992,0.015887440350513402,31.619548797607422,6,14911
0,6,21027216110,0.016547155193567684,48.80332946777344,6,15130
0,4,32467836763,0.005151119410667585,53.94864082336426,6,15087
0,3,21875526087,0.02527353812553347,39.884090423583984,6,15171
0,2,61475207640,0.05676915583436478,30.916452407836914,6,14910
0,2,38926692753,0.001045306732458864,31.914472579956055,6,14909
0,5,90219598713,0.0019045206781953838,31.914710998535156,6,14967
0,9,85817195660,0.041343694714416776,29.72412109375,10,1474
0,9,65822549285,0.00025797984688418705,31.481504440307617,10,1473
0,4,42377987871,0.04842446075950886,28.83768081665039,10,1522
0,4,97271530240,0.020395417572377412,31.24547004699707,10,1521
0,4,61056731853,0.027973731962930345,31.643152236938477,10,1521
0,7,96344374479,0.062485646897236104,32.25994110107422,10,1460
0,4,77864636446,0.0006382589606859103,31.950950622558594,10,1520
0,6,87124601351,0.056304910768705876,29.681682586669922,10,1550
0,6,65856339992,0.021512578276576735,32.20844268798828,10,1549
0,2,41725575105,0.04142804010093035,31.901121139526367,10,1497
0,4,16330491136,0.008028533894609514,32.445430755615234,10,1520
0,9,95644669474,0.0010864120343677085,32.75704383850098,10,1473
0,5,56087122480,0.030069375698637185,32.790422439575195,10,1521
0,6,40899789757,0.0016620568790706506,31.116485595703125,10,1549
0,2,49908619519,0.009542279761505486,31.621932983398438,10,1496
0,4,93019321892,0.07854408770536733,31.227827072143555,10,1520
0,1,55505096097,0.0397658967989001,32.09424018859863,10,1523
0,2,53566120410,0.010905836213289782,30.65347671508789,10,1495
0,3,63794747628,0.01881203682453408,31.31699562072754,10,1540
0,8,64892157246,0.028439271375866278,31.995773315429688,10,1557
