Miner ID,Block Depth,Transaction ID,Redaction Profit,Performance Time (ms),Blockchain Length,# of Tx
0,0
2,2,51954631134,0.0029628894179247723,46.87976837158203,7,1662
0,1,71761217004,0.0010029050841847851,47.188758850097656,1,1726
0,2,58442734089,0.05041630154793981,47.07765579223633,3,1713
0,1,38538248722,0.010696271728946667,47.1804141998291,3,1696
0,1,97523504123,0.0057352261570033135,46.74267768859863,3,1694
0,1,24327521205,0.02987910732747125,46.79727554321289,3,1694
0,3,26684786224,0.022071553705667355,46.46635055541992,3,1598
2,2,99512905193,0.0872647198904581,47.251224517822266,3,1714
2,3,25059682444,0.028090263083635755,46.85616493225098,3,1599
2,2,25139610014,0.06287944738406397,46.69332504272461,3,1712
2,2,81509571372,0.020193258241717037,62.44468688964844,3,1711
2,1,83883283606,0.03789305695050253,46.753883361816406,3,1695
0,1,29067659422,0.020921998347972467,46.796321868896484,2,1655
0,2,57097481973,0.003166654072462531,46.58675193786621,2,1707
0,1,34864818553,0.044052167476136814,46.90361022949219,2,1653
0,2,25893435537,0.019934494003637355,46.86617851257324,2,1706
0,2,93717674242,0.008628827690837452,46.78750038146973,2,1706
2,1,96824232118,0.08367150416018386,47.191619873046875,2,1655
2,1,20788302931,0.016441084891499667,47.249794006347656,2,1654
2,1,84731639679,0.021530351087787142,46.76222801208496,2,1652
2,1,62152703592,0.023677662860162187,46.78964614868164,2,1651
2,1,12478782048,0.0040648778213440255,47.10507392883301,2,1651
0,2,99249022099,0.08347309991189579,47.249555587768555,3,1653
0,1,70210996192,0.015599727023583546,46.842098236083984,3,1655
0,1,79550076476,0.01540246864896821,47.003746032714844,3,1654
0,2,20302093851,0.14695243361574595,47.08743095397949,3,1653
0,3,22802845972,0.04894329090526096,47.05691337585449,3,1662
2,1,73391897938,0.11521648502308364,46.82779312133789,3,1656
2,2,8297684778,0.061934894292908244,46.55194282531738,3,1653
2,2,26078279720,0.008544784623432555,47.272682189941406,3,1653
2,3,49603006845,0.0054299824528846186,46.668052673339844,3,1664
2,3,36283769290,0.04006405839693461,46.75745964050293,3,1663
0,1,13718348841,0.027947828950277708,46.87333106994629,5,1720
0,2,3626513270,0.04290299948686433,46.8902587890625,5,1650
0,4,84354434355,0.0004760936249469224,47.3942756652832,5,1657
0,1,97409117355,0.012351287373307308,46.871185302734375,5,1719
0,2,28557339959,0.0056966810912008935,46.61989212036133,5,1650
0,3,23692792909,0.018000340839906197,47.52993583679199,5,1706
2,5,17591715234,0.037631470869296454,46.72670364379883,5,1729
2,4,45374885829,0.03837156422801838,46.87047004699707,5,1657
2,1,25243125920,0.02941566894478791,46.707868576049805,5,1719
2,3,19344541086,0.029437579255231418,62.28756904602051,5,1706
0,5,38673707668,0.009556159823447614,47.03927040100098,5,1685
0,1,57096320507,0.03999271962427275,47.20020294189453,5,1707
0,2,80681355072,0.012887847258717713,46.76985740661621,5,1730
0,3,55289945692,0.0017971779040787084,46.75436019897461,5,1645
0,5,13005791876,0.008636048253300345,46.75698280334473,5,1685
0,3,3774631648,0.008969980045251442,46.4627742767334,5,1643
2,3,9698406295,0.004457106774072175,46.96011543273926,5,1644
2,4,1149242796,0.011889515331524726,46.692848205566406,5,1667
2,5,32467887400,0.013966436141405438,47.14345932006836,5,1685
2,2,55751534254,0.005870156515759451,46.83518409729004,5,1729
0,2,64864574314,0.006981757575906889,47.03712463378906,3,1694
