Total Profit/Cost,Redact op runs
0,0
0.00675118721940376,1
0.10958415191654532,2
0.18089989350186797,3
0.045779925033227184,4
0.19383536581208455,5
0.13851371846357496,6
0.1567502500619024,7
0.24812479444223498,8
0.32484222947930796,9
0.40038338965897086,10
0.35039581297327593,11
0.28959840664964365,12
0.4576318382164014,13
0.4068254766832087,14
0.4441558261746919,15
0.566163546906603,16
0.44509353114985595,17
0.548007586974932,18
0.6090257340982377,19
0.6553829765921396,20
0.587814009358358,21
0.777455792495553,22
0.8373970706611367,23
0.8127787876232403,24
0.6174740226781197,25
0.7512809897885103,26
0.8790072449588856,27
1.0326151834120665,28
0.7070555937643623,29
0.8373123266165123,30
1.1575640067487383,31
0.9972348069394875,32
1.169074026791029,33
1.2069751552148884,34
1.1525994079246489,35
1.2053405137168653,36
0.8906310664776751,37
1.5746162914541475,38
0.754968791073471,39
1.1088451917065218,40
1.565684081972193,41
1.693467955957259,42
1.4437956957550226,43
1.2772105315652156,44
1.025701426156825,45
1.2049624547362392,46
1.3961878565881882,47
1.4182527079472833,48
1.3389310928162077,49
1.3663512368106439,50
1.6843429731571011,51
1.3792118134032776,52
1.5577584007014016,53
1.5684042177251953,54
1.8952298464051687,55
1.714500382339151,56
1.511804907375922,57
1.8754717073680933,58
1.6090558450765757,59
1.467891617374309,60
1.6345905771424571,61
1.7323548488441782,62
2.017602053363855,63
1.7858157322708714,64
2.371155269077423,65
1.5377191624992788,66
2.121555545571207,67
1.6894427384105737,68
1.944743504977093,69
2.5353216705017356,70
2.635578020058274,71
1.9238125448726358,72
2.15663053985053,73
3.0911536255750747,74
2.264811444365696,75
2.34123499783366,76
2.3350812151945592,77
2.0603052649988483,78
2.232605123495248,79
2.7332357878939737,80
2.4583638670350156,81
2.2453818730905835,82
2.559380227759019,83
2.4387155784153363,84
2.586671759975075,85
2.5939608709548687,86
2.8056304732637507,87
2.2735382398057675,88
2.6789312587093144,89
2.597645093808741,90
3.070319888563565,91
2.914268751948696,92
2.596745546355382,93
2.666139660163397,94
2.6494952368978555,95
2.922034343307464,96
2.6413258244732503,97
2.997028240787115,98
2.9532838227366938,99
3.2987065122943937,100
